,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,text,target
0,0,0,0,awww that bummer you shoulda got david carr of third day to do it,0
1,1,1,1,is upset that he can not update his facebook by texting it and might cry as result school today also blah,0
2,2,2,2,dived many times for the ball managed to save the rest go out of bounds,0
3,3,3,3,my whole body feels itchy and like its on fire,0
4,4,4,4,no it not behaving at all mad why am here because can not see you all over there,0
5,5,5,5,not the whole crew,0
6,6,6,6,need hug,0
7,7,7,7,hey long time no see yes rains bit only bit lol fine thanks how you,0
8,8,8,8,nope they did not have it,0
9,9,9,9,que me muera,0
10,10,10,10,spring break in plain city it snowing,0
11,11,11,11,just re pierced my ears,0
12,12,12,12,could not bear to watch it and thought the ua loss was embarrassing,0
13,13,13,13,it it counts idk why did either you never talk to me anymore,0
14,14,14,14,would ve been the first but did not have gun not really though zac snyder just doucheclown,0
15,15,15,15,wish got to watch it with you miss you and how was the premiere,0
16,16,16,16,hollis death scene will hurt me severely to watch on film wry is directors cut not out now,0
17,17,17,17,about to file taxes,0
18,18,18,18,ahh ive always wanted to see rent love the soundtrack,0
19,19,19,19,oh dear were you drinking out of the forgotten table drinks,0
20,20,20,20,was out most of the day so did not get much done,0
21,21,21,21,one of my friend called me and asked to meet with her at mid valley today but ve no time sigh,0
22,22,22,22,baked you cake but ated it,0
23,23,23,23,this week is not going as had hoped,0
24,24,24,24,blagh class at tomorrow,0
25,25,25,25,hate when have to call and wake people up,0
26,26,26,26,just going to cry myself to sleep after watching marley and me,0
27,27,27,27,im sad now miss lilly,0
28,28,28,28,ooooh lol that leslie and ok will not do it again so leslie will not get mad again,0
29,29,29,29,meh almost lover is the exception this track gets me depressed every time,0
30,30,30,30,some hacked my account on aim now have to make new one,0
31,31,31,31,want to go to promote gear and groove but unfornately no ride there may going to the one in anaheim in may though,0
32,32,32,32,thought sleeping in was an option tomorrow but realizing that it now is not evaluations in the morning and work in the afternoon,0
33,33,33,33,awe love you too am here miss you,0
34,34,34,34,cry my asian eyes to sleep at night,0
35,35,35,35,ok sick and spent an hour sitting in the shower cause was too sick to stand and held back the puke like champ bed now,0
36,36,36,36,ill tell ya the story later not good day and ill be workin for like three more hours,0
37,37,37,37,sorry bed time came here gmt,0
38,38,38,38,do not either its depressing do not think even want to know about the kids in suitcases,0
39,39,39,39,bed class work gym or then class another day that gonna fly by miss my girlfriend,0
40,40,40,40,really do not feel like getting up today but got to study to for tomorrows practical exam,0
41,41,41,41,he the reason for the teardrops on my guitar the only one who has enough of me to break my heart,0
42,42,42,42,sad sad sad do not know why but hate this feeling wanna sleep and still can not,0
43,43,43,43,soo wish was there to see you finally comfortable im sad that missed it,0
44,44,44,44,falling asleep just heard about that tracy girl body being found how sad my heart breaks for that family,0
45,45,45,45,yay happy for you with your job but that also means less time for me and you,0
46,46,46,46,just checked my user timeline on my blackberry it looks like the twanking is still happening are ppl still having probs bgs and uids,0
47,47,47,47,oh man was ironing fave top to wear to meeting burnt it,0
48,48,48,48,is strangely sad about lilo and samro breaking up,0
49,49,49,49,oh so sorry did not think about that before retweeting,0
50,50,50,50,broadband plan massive broken promise via still waiting for broadband we are,0
51,51,51,51,wow tons of replies from you may have to unfollow so can see my friends tweets you re scrolling the feed lot,0
52,52,52,52,our duck and chicken are taking wayyy too long to hatch,0
53,53,53,53,put vacation photos online few yrs ago pc crashed and now forget the name of the site,0
54,54,54,54,need hug,0
55,55,55,55,not sure what they are only that they are pos as much as want to dont think can trade away company assets sorry andy,0
56,56,56,56,hate when that happens,0
57,57,57,57,have sad feeling that dallas is not going to show up gotta say though you think more shows would use music from the game mmm,0
58,58,58,58,ugh degrees tomorrow,0
59,59,59,59,where did move to thought were already in sd hmmm random found me glad to hear yer doing well,0
60,60,60,60,miss my ps it out of commission wutcha playing have you copped blood on the sand,0
61,61,61,61,just leaving the parking lot of work,0
62,62,62,62,the life is cool but not for me,0
63,63,63,63,sadly though ve never gotten to experience the post coitus cigarette before and now never will,0
64,64,64,64,had such nice day too bad the rain comes in tomorrow at am,0
65,65,65,65,too bad will not be around lost my job and can not even pay my phone bill lmao aw shucks,0
66,66,66,66,damm back to school tomorrow,0
67,67,67,67,mo jobs no money how in the hell is min wage here clams an hour,0
68,68,68,68,not forever see you soon,0
69,69,69,69,agreed saw the failwhale allllll day today,0
70,70,70,70,oh haha dude dont really look at em unless someone says hey added you sorry so terrible at that need pop up,0
71,71,71,71,sure you re right need to start working out with you and the nikster or jared at least,0
72,72,72,72,really hate how people diss my bands trace is clearly not ugly,0
73,73,73,73,gym attire today was puma singlet adidas shorts and black business socks and leather shoes lucky did not run into any cute girls,0
74,74,74,74,why will not you show my location,0
75,75,75,75,no picnic my phone smells like citrus,0
76,76,76,76,my donkey is sensitive about such comments nevertheless he and me be glad to see your mug asap charger is still awol,0
77,77,77,77,no new csi tonight fml,0
78,78,78,78,think my arms are sore from tennis,0
79,79,79,79,wonders why someone that like so much can make you so unhappy in split seccond depressed,0
80,80,80,80,sleep soon just hate saying bye and see you tomorrow for the night,0
81,81,81,81,just got ur newsletter those fares really are unbelievable shame already booked and paid for mine,0
82,82,82,82,missin the boo,0
83,83,83,83,me too itm,0
84,84,84,84,damn do not have any chalk my chalkboard is useless,0
85,85,85,85,had blast at the getty villa but hates that she had sore throat all day it just getting worse too,0
86,86,86,86,hey missed ya at the meeting sup mama,0
87,87,87,87,my tummy hurts wonder if the hypnosis has anything to do with it if so it working get it stop smoking,0
88,88,88,88,why is it always the fat ones,0
89,89,89,89,sorry babe my fam annoys me too thankfully they re asleep right now muahaha evil laugh,0
90,90,90,90,should have paid more attention when we covered photoshop in my webpage design class in undergrad,0
91,91,91,91,wednesday my day do not know what do,0
92,92,92,92,poor cameron the hills,0
93,93,93,93,pray for me please the ex is threatening to start sh at my our babies st birthday party what jerk and still have headache,0
94,94,94,94,hmm do really enjoy being with him if the problems are too constants should think things more find someone ulike,0
95,95,95,95,strider is sick little puppy,0
96,96,96,96,so rylee grace wana go steve party or not sadly since its easter wnt able do much but ohh well,0
97,97,97,97,hey actually won one of my bracket pools too bad it was not the one for money,0
98,98,98,98,you do not follow me either and work for you,0
99,99,99,99,bad nite for the favorite teams astros and spartans lose the nite out with was good,0
